"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"133",JAWA BARAT,KUNINGAN,GARAWANGI,"14"
"134",SULAWESI SELATAN,BANTAENG,PA'JUKUKANG,"442"
"135",JAWA TIMUR,KEDIRI,KAYEN KIDUL,"376"
"136",PAPUA,LANNY JAYA,MALAGAINERI,"176"
"137",JAWA BARAT,SUBANG,CIATER,"457"
"138",JAWA BARAT,PURWAKARTA,SUKASARI,"60"
"139",SULAWESI UTARA,MINAHASA SELATAN,MOTOLING,"164"
"140",JAWA BARAT,SUMEDANG,PAMULIHAN,"456"
"141",JAWA TIMUR,BOJONEGORO,TRUCUK,"223"
"142",GORONTALO,BONE BOLANGO,SUWAWA,"227"
"143",MALUKU UTARA,HALMAHERA SELATAN,OBI TIMUR,"97"
"144",JAMBI,MERANGIN,BATANG MASUMAI,"384"
"145",SUMATERA BARAT,BUKITTINGGI,AUR BIRUGO TIGO BALEH,"345"
"146",SULAWESI SELATAN,MAKASSAR,MAMAJANG,"66"
"147",KALIMANTAN TIMUR,PENAJAM PASER UTARA,BABULU,"143"
"148",LAMPUNG,LAMPUNG BARAT,PAGAR DEWA,"172"
"149",PAPUA,PEGUNUNGAN BINTANG,OKSIBIL,"304"
"150",SULAWESI SELATAN,LUWU TIMUR,NUHA,"262"
"151",JAWA BARAT,SUBANG,CISALAK,"457"
"152",KALIMANTAN BARAT,KAPUAS HULU,BUNUT HILIR,"410"
"153",ACEH,SUBULUSSALAM,SULTAN DAULAT,"405"
"154",PAPUA,YAHUKIMO,HEREAPINI,"397"
"155",PAPUA,WAROPEN,DEMBA,"326"
"156",KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,"11"
"157",SULAWESI SELATAN,PINRANG,TIROANG,"322"
"158",SUMATERA BARAT,BUKITTINGGI,GUGUK PANJANG,"345"
"159",BANTEN,SERANG,WARINGINKURUNG,"198"
"160",JAWA TENGAH,SALATIGA,TINGKIR,"394"
"161",NUSA TENGGARA TIMUR,MANGGARAI TIMUR,POCO RANAKA TIMUR,"290"
