"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"1750",JAWA TENGAH,BLORA,BOGOREJO,"295"
"1751",JAWA TIMUR,MADIUN,DAGANGAN,"284"
"1752",JAWA TIMUR,TRENGGALEK,TRENGGALEK,"160"
"1753",JAWA TIMUR,BATU,JUNREJO,"124"
"1754",JAWA TIMUR,NGANJUK,BARON,"473"
"1755",JAWA TENGAH,PATI,WINONG,"87"
"1756",NUSA TENGGARA TIMUR,ALOR,KABOLA,"267"
"1757",SUMATERA SELATAN,OGAN ILIR,KANDIS,"32"
"1758",JAWA TIMUR,SUMENEP,BATUAN,"244"
"1759",PAPUA,TOLIKARA,KARUBAGA,"141"
"1760",RIAU,S I A K,KERINCI KANAN,"42"
"1761",SUMATERA UTARA,PADANG LAWAS,BARUMUN,"349"
"1762",ACEH,PIDIE,INDRAJAYA,"273"
"1763",SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,PENUKAL,"321"
"1764",LAMPUNG,TANGGAMUS,SUMBEREJO,"496"
"1765",ACEH,ACEH BESAR,KOTA JANTHO,"310"
"1766",JAWA TIMUR,BOJONEGORO,KANOR,"223"
"1767",JAWA TENGAH,BOYOLALI,SIMO,"282"
"1768",SUMATERA UTARA,TAPANULI UTARA,SIMANGUMBAN,"243"
"1769",PAPUA BARAT,SORONG,SORONG,"55"
"1770",PAPUA,DOGIYAI,PIYAIYE,"266"
"1771",LAMPUNG,LAMPUNG UTARA,SUNGKAI SELATAN,"240"
"1772",KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,"332"
"1773",DKI JAKARTA,JAKARTA SELATAN,PANCORAN,"29"
"1774",KALIMANTAN BARAT,MELAWI,SAYAN,"403"
"1775",SUMATERA UTARA,DELI SERDANG,GUNUNG MERIAH,"38"
"1776",SULAWESI TENGAH,PALU,PALU BARAT,"487"
"1777",SUMATERA BARAT,KEPULAUAN MENTAWAI,SIBERUT BARAT,"106"
"1778",JAWA BARAT,BANDUNG,ANTAPANI,"224"
"1779",PAPUA,PUNCAK,AGADUGUME,"330"
"1780",JAWA BARAT,INDRAMAYU,PATROL,"293"
"1781",JAMBI,MUARO JAMBI,TAMAN RAJO,"8"
"1782",NUSA TENGGARA TIMUR,SIKKA,ALOK BARAT,"170"
"1783",LAMPUNG,PRINGSEWU,PAGELARAN,"421"
"1784",KALIMANTAN BARAT,KUBU RAYA,SUNGAI AMBAWANG,"36"
"1785",SULAWESI TENGGARA,MUNA BARAT,MAGINTI,"402"
"1786",JAWA BARAT,CIAMIS,RAJADESA,"440"
"1787",LAMPUNG,LAMPUNG TENGAH,SEPUTIH MATARAM,"13"
"1788",BENGKULU,BENGKULU SELATAN,SEGINIM,"178"
"1789",KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,ANTANG KALANG,"34"
"1790",SULAWESI TENGGARA,BUTON,LASALIMU,"246"
"1791",JAWA BARAT,CIREBON,TALUN,"447"
"1793",SULAWESI TENGAH,MOROWALI,BUNGKU TENGAH,"281"
"1794",KALIMANTAN UTARA,NUNUKAN,TULIN ONSOI,"46"
"1795",BENGKULU,BENGKULU UTARA,AIR NAPAL,"225"
"1796",JAWA BARAT,KARAWANG,TEGALWARU,"236"
"1797",BENGKULU,MUKOMUKO,XIV KOTO,"135"
"1798",PAPUA,WAROPEN,OUDATE,"326"
"1799",NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,BIKOMI SELATAN,"96"
"1800",JAMBI,MERANGIN,MUARA SIAU,"384"
"1801",BALI,KARANG ASEM,KARANGASEM,"253"
"1802",SUMATERA SELATAN,OGAN KOMERING ILIR,TANJUNG LUBUK,"238"
"1803",JAWA TIMUR,BONDOWOSO,WRINGIN,"429"
"1804",PAPUA BARAT,SORONG,SALAWATI,"55"
"1805",SUMATERA UTARA,DAIRI,BERAMPU,"371"
"1806",MALUKU,MALUKU BARAT DAYA,WETAR UTARA,"426"
"1807",KALIMANTAN BARAT,BENGKAYANG,SANGGAU LEDO,"353"
"1808",JAMBI,MUARO JAMBI,KUMPEH,"8"
"1809",KALIMANTAN BARAT,KAPUAS HULU,HULU GURUNG,"410"
"1810",LAMPUNG,LAMPUNG SELATAN,SRAGI,"428"
"1811",LAMPUNG,BANDAR LAMPUNG,TANJUNG KARANG TIMUR,"336"
"1813",JAWA BARAT,SUKABUMI,CARINGIN,"324"
"1814",JAWA BARAT,BANDUNG,RANCAEKEK,"224"
"1815",DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,"128"
"1816",BENGKULU,BENGKULU,RATU SAMBAN,"369"
"1817",KALIMANTAN BARAT,KUBU RAYA,SUNGAI KAKAP,"36"
"1818",ACEH,ACEH UTARA,COT GIREK,"323"
"1819",BENGKULU,REJANG LEBONG,CURUP UTARA,"191"
"1820",PAPUA,SUPIORI,SUPIORI SELATAN,"89"
"1821",NUSA TENGGARA BARAT,LOMBOK BARAT,SEKOTONG,"495"
"1822",SUMATERA BARAT,PASAMAN,PADANG GELUGUR,"438"
"1823",SULAWESI TENGAH,TOLI-TOLI,GALANG,"245"
"1824",RIAU,ROKAN HULU,UJUNG BATU,"412"
"1825",JAWA BARAT,INDRAMAYU,SUKRA,"293"
"1826",LAMPUNG,TULANGBAWANG,GEDUNG AJI BARU,"79"
"1917",JAWA TIMUR,MALANG,JABUNG,"39"
"1827",SUMATERA UTARA,TAPANULI SELATAN,SAYUR MATINGGI,"166"
"1828",JAWA BARAT,MAJALENGKA,SUKAHAJI,"219"
"1829",MALUKU,SERAM BAGIAN BARAT,KEPULAUAN MANIPA,"390"
"1830",GORONTALO,BONE BOLANGO,TAPA,"227"
"1831",MALUKU UTARA,HALMAHERA SELATAN,BACAN SELATAN,"97"
"1832",PAPUA,MAPPI,ASSUE,"151"
"1833",JAWA BARAT,KARAWANG,CIKAMPEK,"236"
"1834",JAWA TENGAH,GROBOGAN,KLAMBU,"368"
"1835",JAWA BARAT,SUKABUMI,CIBEUREUM,"324"
"1836",JAWA BARAT,SUKABUMI,WARUNG KIARA,"324"
"1837",JAWA TENGAH,TEGAL,PAGERBARANG,"88"
"1838",DAERAH ISTIMEWA YOGYAKARTA,BANTUL,PANDAK,"192"
"1839",LAMPUNG,TANGGAMUS,WONOSOBO,"496"
"1840",JAWA BARAT,GARUT,SUCINARAJA,"175"
"1841",SULAWESI UTARA,MINAHASA,LANGOWAN BARAT,"358"
"1842",PAPUA BARAT,SORONG,SALAWATI TIMUR,"55"
"1843",JAWA TENGAH,PURBALINGGA,BUKATEJA,"47"
"1844",LAMPUNG,PESISIR BARAT,PESISIR SELATAN,"205"
"1845",SULAWESI BARAT,MAMUJU,BALABALAKANG,"23"
"1846",JAWA TIMUR,MAGETAN,LEMBEYAN,"230"
"1847",JAMBI,JAMBI,PAAL MERAH,"275"
"1848",JAWA BARAT,BEKASI,CIKARANG UTARA,"452"
"1849",JAWA TIMUR,NGANJUK,JATIKALEN,"473"
"1850",KALIMANTAN TIMUR,BERAU,PULAU DERAWAN,"58"
"1851",JAMBI,BATANG HARI,BATIN XXIV,"327"
"1852",SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA UTARA,"30"
"1853",JAWA TENGAH,BANYUMAS,PURWOKERTO BARAT,"341"
"1854",JAWA TENGAH,SRAGEN,SUKODONO,"62"
"1855",JAWA BARAT,SUMEDANG,TOMO,"456"
"1856",DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL,SEMANU,"307"
"1857",KALIMANTAN UTARA,TANA TIDUNG,TANA LIA,"439"
"1858",JAWA BARAT,KARAWANG,KOTABARU,"236"
"1859",LAMPUNG,DANAU,DANAU,"109"
"1860",SUMATERA UTARA,PADANG LAWAS,LUBUK BARUMUN,"349"
"1861",SULAWESI SELATAN,MAROS,TOMPU BULU,"112"
"1862",KALIMANTAN SELATAN,HULU SUNGAI UTARA,BABIRIK,"90"
"1863",KALIMANTAN BARAT,SEKADAU,BELITANG,"432"
"1864",MALUKU UTARA,PULAU MOROTAI,MOROTAI JAYA,"185"
"1865",SULAWESI TENGAH,BANGGAI LAUT,BANGGAI SELATAN,"418"
"1866",JAWA BARAT,BEKASI,RAWALUMBU,"452"
"1867",MALUKU,BURU,WAELATA,"382"
"1868",BENGKULU,BENGKULU,SINGARAN PATI,"369"
"1869",JAWA TENGAH,SEMARANG,AMBARAWA,"201"
"1870",JAWA BARAT,SUKABUMI,SAGARANTEN,"324"
"1871",JAWA BARAT,CIAMIS,CIPAKU,"440"
"1872",SULAWESI UTARA,KEPULAUAN TALAUD,KABARUAN,"162"
"1873",NUSA TENGGARA TIMUR,KUPANG,AMFOANG BARAT LAUT,"468"
"1874",KALIMANTAN BARAT,KUBU RAYA,BATU AMPAR,"36"
"1875",KALIMANTAN TIMUR,KUTAI TIMUR,KALIORANG,"280"
"1876",SULAWESI UTARA,MINAHASA TENGGARA,RATATOTOK,"460"
"1877",KALIMANTAN UTARA,TANA TIDUNG,SESAYAP,"439"
"1878",SUMATERA BARAT,SAWAH LUNTO,LEMBAH SEGAR,"435"
"1879",SULAWESI TENGGARA,MUNA,TONGKUNO,"388"
"1880",JAWA TENGAH,BLORA,CEPU,"295"
"1881",JAWA TENGAH,BANJARNEGARA,BANJARNEGARA,"380"
"1882",PAPUA,SARMI,SARMI TIMUR,"217"
"1883",SULAWESI TENGGARA,KONAWE SELATAN,LAONTI,"28"
"1884",JAWA TIMUR,BLITAR,SUKOREJO,"234"
"1885",JAWA BARAT,KARAWANG,TIRTAJAYA,"236"
"1886",JAWA BARAT,GARUT,BLUBUR LIMBANGAN,"175"
"1887",DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,"312"
"1888",JAWA TIMUR,BLITAR,GARUM,"234"
"1889",JAWA BARAT,BOGOR,CISEENG,"69"
"1890",JAWA TENGAH,JEPARA,KEDUNG,"294"
"1891",SUMATERA UTARA,BATU BARA,TANJUNG TIRAM,"117"
"1892",JAMBI,SUNGAI PENUH,PONDOK TINGGI,"354"
"1893",ACEH,ACEH TAMIANG,TENGGULUN,"463"
"1894",GORONTALO,GORONTALO,PULUBALA,"53"
"1895",LAMPUNG,MESUJI,HUTAN,"464"
"1896",MALUKU,AMBON,LEITIMUR SELATAN,"20"
"1897",JAWA BARAT,CIANJUR,MANDE,"188"
"1898",SULAWESI SELATAN,BARRU,BALUSU,"389"
"1899",SULAWESI SELATAN,BANTAENG,ULUERE,"442"
"1900",PAPUA,JAYAPURA,JAYAPURA SELATAN,"115"
"1901",ACEH,ACEH UTARA,BAKTIYA,"323"
"1902",SUMATERA SELATAN,MUARA ENIM,MUARA ENIM,"484"
"1903",SULAWESI SELATAN,GOWA,BONTONOMPO SELATAN,"48"
"1904",JAWA TIMUR,MAGETAN,MAOSPATI,"230"
"1905",PAPUA,SARMI,PANTAI TIMUR BAGIAN BARAT,"217"
"1906",JAWA TIMUR,JEMBER,KALIWATES,"26"
"1907",JAWA BARAT,BOGOR,PARUNG,"69"
"1908",SUMATERA BARAT,DHARMASRAYA,SUNGAI RUMBAI,"313"
"1909",SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA TENGAH,"30"
"1910",JAWA TENGAH,BANJARNEGARA,PEJAWARAN,"380"
"1911",SULAWESI SELATAN,TORAJA UTARA,SESEAN,"286"
"1912",JAWA TENGAH,PEKALONGAN,PEKALONGAN BARAT,"309"
"1913",BALI,TABANAN,BATURITI,"361"
"1914",BENGKULU,MUKOMUKO,KOTA MUKOMUKO,"135"
"1915",PAPUA BARAT,TELUK BINTUNI,MOSKONA SELATAN,"346"
"1916",SUMATERA UTARA,TAPANULI UTARA,ADIANKOTING,"243"
"1918",KEPULAUAN RIAU,KARIMUN,MERAL BARAT,"401"
"1919",GORONTALO,POHUWATO,RANDANGAN,"317"
"1920",SUMATERA SELATAN,EMPAT LAWANG,SIKAP DALAM,"459"
"1921",KEPULAUAN RIAU,BATAM,BATAM KOTA,"132"
"1922",SULAWESI TENGGARA,BOMBANA,POLEANG TENGGARA,"92"
"1923",SULAWESI SELATAN,GOWA,BAROMBONG,"48"
"1924",SUMATERA SELATAN,OGAN KOMERING ILIR,SIRAH PULAU PADANG,"238"
"1925",SULAWESI TENGGARA,BUTON,PASAR WAJO,"246"
"30",JAWA TENGAH,BREBES,BANJARHARJO,"107"
"1926",JAWA TENGAH,KARANGANYAR,KARANGPANDAN,"268"
"1927",JAWA TIMUR,TRENGGALEK,DONGKO,"160"
"1928",JAWA TENGAH,DEMAK,SAYUNG,"189"
"1929",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,PULAU BERINGIN,"470"
"1930",ACEH,ACEH TENGAH,PEGASING,"15"
"1931",JAWA TIMUR,JOMBANG,MEGALUH,"67"
"1932",SULAWESI UTARA,BITUNG,RANOWULU,"424"
"2115",PAPUA,YAHUKIMO,SUMO,"397"
"1934",BANTEN,SERANG,CINANGKA,"198"
"1935",JAWA TENGAH,BLORA,JATI,"295"
"1936",PAPUA,LANNY JAYA,TIOM,"176"
"1937",JAWA TENGAH,TEMANGGUNG,GEMAWANG,"398"
"1938",JAWA BARAT,CIREBON,KESAMBI,"447"
"1939",JAWA TENGAH,BANYUMAS,KEBASEN,"341"
"1940",SUMATERA UTARA,MEDAN,MEDAN SUNGGAL,"195"
"1941",NUSA TENGGARA TIMUR,LEMBATA,ILE APE TIMUR,"356"
"1942",JAWA BARAT,GARUT,SELAAWI,"175"
"1943",JAWA BARAT,TASIKMALAYA,CISAYONG,"395"
"1944",PAPUA,YAHUKIMO,KWELAMDUA,"397"
"1945",JAWA TIMUR,GRESIK,PANCENG,"383"
"1946",KALIMANTAN TENGAH,GUNUNG MAS,MIRI MANASA,"104"
"1947",GORONTALO,GORONTALO UTARA,MONANO,"52"
"1948",JAWA TENGAH,KENDAL,PEGANDON,"27"
"1949",BALI,JEMBRANA,NEGARA,"399"
"1950",JAWA TIMUR,PROBOLINGGO,GENDING,"466"
"1951",NUSA TENGGARA TIMUR,SIKKA,MEGO,"170"
"1952",JAWA TENGAH,PURBALINGGA,KUTASARI,"47"
"1953",MALUKU,KEPULAUAN ARU,ARU UTARA TIMUR BATULEY,"204"
"1954",MALUKU UTARA,TIDORE KEPULAUAN,OBA SELATAN,"129"
"1955",SULAWESI UTARA,MINAHASA TENGGARA,RATAHAN,"460"
"1956",SULAWESI SELATAN,TANA TORAJA,SALUPUTTI,"239"
"1957",JAWA TIMUR,BLITAR,BINANGUN,"234"
"1958",DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL,PATUK,"307"
"1959",PAPUA,BIAK NUMFOR,ANDEY,"229"
"1960",DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,"43"
"1961",NUSA TENGGARA BARAT,SUMBAWA,MOYOHILIR,"451"
"1962",PAPUA,YAHUKIMO,DIRWEMNA,"397"
"1963",BANTEN,PANDEGLANG,PANIMBANG,"154"
"1965",SULAWESI BARAT,MAMASA,MESSAWA,"288"
"1966",JAWA TIMUR,JEMBER,TANGGUL,"26"
"1967",JAWA BARAT,BOGOR,SUKAMAKMUR,"69"
"1968",KALIMANTAN TIMUR,PASER,MUARA KOMAM,"249"
"1969",SUMATERA UTARA,KARO,KUTA BULUH,"22"
"1970",SUMATERA UTARA,LANGKAT,SEI BINGAI,"481"
"1971",LAMPUNG,BANDAR LAMPUNG,KEDATON,"336"
"1972",JAWA BARAT,GARUT,KADUNGORA,"175"
"1973",KALIMANTAN SELATAN,HULU SUNGAI SELATAN,DAHA SELATAN,"108"
"1974",NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,KODI,"416"
"1975",KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,"11"
"1976",PAPUA BARAT,TELUK BINTUNI,KURI,"346"
"1977",SULAWESI UTARA,MANADO,SINGKIL,"414"
"1978",MALUKU UTARA,PULAU TALIABU,TALIABU TIMUR SELATAN,"68"
"1979",NUSA TENGGARA TIMUR,NGADA,RIUNG,"407"
"1980",SUMATERA UTARA,MEDAN,MEDAN BARU,"195"
"1981",JAMBI,SAROLANGUN,SAROLANGUN,"437"
"1982",ACEH,ACEH TIMUR,DARUL AMAN,"486"
"1983",PAPUA,SARMI,PANTAI BARAT,"217"
"1984",SULAWESI TENGAH,MOROWALI,BUNGKU TIMUR,"281"
"1985",JAWA BARAT,TASIKMALAYA,JAMANIS,"395"
"1986",JAWA TIMUR,SURABAYA,SIMOKERTO,"475"
"1987",PAPUA,KEPULAUAN YAPEN,PANTURA YAPEN,"296"
"1988",PAPUA BARAT,TELUK BINTUNI,MEYADO,"346"
"1989",SULAWESI BARAT,MAJENE,MALUNDA,"114"
"1990",SUMATERA BARAT,LIMA PULUH KOTA,LAREH SAGO HALABAN,"283"
"1991",SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,"408"
"1992",JAWA TIMUR,GRESIK,DUKUN,"383"
"1993",KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,"353"
"1994",JAWA TIMUR,JEMBER,LEDOKOMBO,"26"
"1995",SUMATERA UTARA,GUNUNGSITOLI,GUNUNG SITOLI,"215"
"1996",SULAWESI BARAT,POLEWALI MANDAR,BINUANG,"408"
"1997",BENGKULU,BENGKULU SELATAN,PINO,"178"
"1998",KALIMANTAN SELATAN,TABALONG,UPAU,"4"
"1999",JAWA TENGAH,PEKALONGAN,PEKALONGAN UTARA,"309"
"2000",SULAWESI TENGGARA,KOLAKA,TOARI,"208"
"2001",BENGKULU,MUKOMUKO,TERAMANG JAYA,"135"
"2002",RIAU,KAMPAR,SALO,"311"
"2003",KALIMANTAN SELATAN,TAPIN,CANDI LARAS SELATAN,"367"
"2004",KALIMANTAN BARAT,KAPUAS HULU,BUNUT HULU,"410"
"2005",JAWA TENGAH,PURWOREJO,PURWOREJO,"182"
"2006",JAMBI,MUARO JAMBI,SUNGAI BAHAR,"8"
"2007",SUMATERA UTARA,LABUHAN BATU,RANTAU SELATAN,"303"
"2008",GORONTALO,GORONTALO,TELAGA,"53"
"2009",KALIMANTAN TENGAH,BARITO TIMUR,PEMATANG KARAU,"305"
"2010",JAWA TIMUR,NGAWI,GERIH,"315"
"2011",PAPUA,YALIMO,WELAREK,"257"
"2012",PAPUA,MIMIKA,MIMIKA BARAT JAUH,"211"
"2013",SUMATERA UTARA,TAPANULI UTARA,PARMONANGAN,"243"
"2014",JAWA BARAT,DEPOK,PANCORAN MAS,"233"
"2015",JAWA BARAT,BOGOR,CIAWI,"69"
"2016",ACEH,ACEH SELATAN,KLUET TIMUR,"149"
"2017",SULAWESI SELATAN,MAROS,MARUSU,"112"
"2018",SULAWESI TENGAH,SIGI,MARAWOLA BARAT,"81"
"2019",JAWA BARAT,INDRAMAYU,KRANGKENG,"293"
"2020",SULAWESI TENGGARA,KONAWE,WONGGEDUKU,"174"
"2021",SULAWESI TENGGARA,BAUBAU,MURHUM,"153"
"6",PAPUA,YAHUKIMO,SOLOIKMA,"397"
"2022",JAWA TIMUR,SAMPANG,KARANG PENANG,"343"
"2023",JAWA TIMUR,SURABAYA,RUNGKUT,"475"
"2024",JAWA TIMUR,BOJONEGORO,KAPAS,"223"
"2025",SULAWESI TENGAH,BANGGAI,BUNTA,"386"
"2136",JAWA TIMUR,NGAWI,WIDODAREN,"315"
"2026",SUMATERA BARAT,PADANG,KOTO TANGAH,"329"
"2027",SULAWESI SELATAN,GOWA,MANUJU,"48"
"2028",KALIMANTAN TENGAH,SERUYAN,DANAU SEMBULUH,"348"
"2029",PAPUA BARAT,TELUK WONDAMA,SOUG JAYA,"61"
"2030",BENGKULU,REJANG LEBONG,SINDANG BELITI ULU,"191"
"2031",SUMATERA UTARA,TAPANULI SELATAN,TANO TOMBANGAN ANGKOLA,"166"
"2032",JAWA TENGAH,PATI,GABUS,"87"
"2033",MALUKU UTARA,HALMAHERA TIMUR,MABA SELATAN,"199"
"2034",ACEH,PIDIE,KEUMALA,"273"
"2035",KALIMANTAN UTARA,MALINAU,SUNGAI BOH,"342"
"2036",NUSA TENGGARA TIMUR,LEMBATA,LEBATUKAN,"356"
"2037",MALUKU,SERAM BAGIAN TIMUR,LIAN VITU,"277"
"2038",JAWA BARAT,BANDUNG,CIMAUNG,"224"
"2039",SULAWESI SELATAN,BULUKUMBA,BONTOTIRO,"250"
"2040",PAPUA,TOLIKARA,NELAWI,"141"
"2041",SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BUAY PEMUKA PELIUNG,"339"
"2042",KALIMANTAN TIMUR,SAMARINDA,SAMARINDA KOTA,"105"
"2043",NUSA TENGGARA TIMUR,KUPANG,KOTA RAJA,"468"
"2044",SUMATERA BARAT,LIMA PULUH KOTA,MUNGKA,"283"
"2045",BANTEN,LEBAK,CILOGRANG,"338"
"2046",JAWA BARAT,TASIKMALAYA,SINGAPARNA,"395"
"2047",SUMATERA BARAT,TANAH DATAR,TANJUNG BARU,"301"
"2048",NUSA TENGGARA TIMUR,SUMBA TIMUR,RINDI,"493"
"2049",PAPUA,PANIAI,PANIAI TIMUR,"122"
"2050",KALIMANTAN BARAT,SAMBAS,TELUK KERAMAT,"121"
"2051",LAMPUNG,LAMPUNG TENGAH,KALIREJO,"13"
"2052",JAWA TIMUR,PROBOLINGGO,BESUK,"466"
"2053",DKI JAKARTA,JAKARTA SELATAN,CILANDAK,"29"
"2054",PAPUA BARAT,TELUK BINTUNI,TOMU,"346"
"2055",JAWA TIMUR,TULUNGAGUNG,SENDANG,"44"
"2056",JAWA BARAT,CIAMIS,SUKAMANTRI,"440"
"2057",JAWA BARAT,BANDUNG,CIBEUNYING KALER,"224"
"2058",SUMATERA UTARA,DELI SERDANG,SINEMBAH TANJUNG MUDA HULU,"38"
"2059",JAWA TENGAH,PURWOREJO,NGOMBOL,"182"
"2060",JAWA TENGAH,PURWOREJO,LOANO,"182"
"2061",PAPUA BARAT,SORONG SELATAN,KONDA,"242"
"2062",JAWA TENGAH,JEPARA,TAHUNAN,"294"
"2063",SUMATERA UTARA,PADANG LAWAS UTARA,PADANG BOLAK,"269"
"2064",SULAWESI SELATAN,PAREPARE,BACUKIKI,"200"
"2065",JAWA TIMUR,LAMONGAN,SOLOKURO,"94"
"2066",JAWA BARAT,BANDUNG,SUKASARI,"224"
"2067",SUMATERA SELATAN,PALEMBANG,JAKABARING,"320"
"2068",JAWA TENGAH,PEKALONGAN,KEDUNGWUNI,"309"
"2069",JAWA TENGAH,KEBUMEN,SADANG,"264"
"2070",KEPULAUAN BANGKA BELITUNG,PANGKAL PINANG,GERUNGGANG,"492"
"2071",SULAWESI TENGAH,BUOL,BOKAT,"45"
"2072",JAWA TENGAH,CILACAP,WANAREJA,"260"
"2073",LAMPUNG,WAY KANAN,REBANG TANGKAS,"64"
"2074",SULAWESI SELATAN,TAKALAR,MANGARA BOMBANG,"74"
"2075",SULAWESI SELATAN,BONE,AWANGPONE,"248"
"2076",SULAWESI SELATAN,MAROS,MONCONGLOE,"112"
"2077",SUMATERA UTARA,TAPANULI UTARA,SIBORONGBORONG,"243"
"2078",SUMATERA UTARA,NIAS UTARA,TUHEMBERUA,"148"
"2079",JAWA TENGAH,KEBUMEN,KUWARASAN,"264"
"2080",KALIMANTAN BARAT,SINTANG,SEPAUK,"7"
"2081",SULAWESI TENGAH,TOLI-TOLI,BAOLAN,"245"
"2082",PAPUA,YAHUKIMO,AMUMA,"397"
"2083",SUMATERA BARAT,BUKITTINGGI,MANDIANGIN KOTO SELAYAN,"345"
"2084",KALIMANTAN BARAT,SANGGAU,PARINDU,"103"
"2085",JAWA TENGAH,PURWOREJO,KUTOARJO,"182"
"2086",BANTEN,PANDEGLANG,CIBALIUNG,"154"
"2087",BANTEN,PANDEGLANG,KORONCONG,"154"
"2088",JAWA BARAT,SUKABUMI,CIDOLOG,"324"
"2089",JAWA TIMUR,SITUBONDO,BANYUGLUGUR,"360"
"2090",SUMATERA SELATAN,BANYU ASIN,MAKARTI JAYA,"461"
"2091",JAWA TIMUR,PAMEKASAN,PEGANTENAN,"25"
"2092",SUMATERA BARAT,PARIAMAN,PARIAMAN SELATAN,"489"
"2093",NUSA TENGGARA BARAT,LOMBOK TIMUR,JEROWARU,"193"
"2094",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,KOTA SOE,"119"
"2095",DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL,PANGGANG,"307"
"2096",JAWA TENGAH,MAGELANG,PAKIS,"318"
"2097",SULAWESI TENGGARA,KONAWE UTARA,MOTUI,"477"
"2098",JAWA TENGAH,TEGAL,TARUB,"88"
"2099",JAWA BARAT,KARAWANG,KLARI,"236"
"2100",ACEH,ACEH BARAT DAYA,SUSOH,"423"
"2101",NUSA TENGGARA TIMUR,ROTE NDAO,ROTE SELATAN,"480"
"2102",JAWA TENGAH,SALATIGA,ARGOMULYO,"394"
"2103",JAWA TENGAH,GROBOGAN,WIROSARI,"368"
"2104",SULAWESI SELATAN,MAKASSAR,MANGGALA,"66"
"2105",JAWA TENGAH,WONOGIRI,PARANGGUPITO,"216"
"2106",SUMATERA UTARA,LANGKAT,BATANG SERANGAN,"481"
"2107",KALIMANTAN UTARA,MALINAU,MALINAU UTARA,"342"
"3579",BANTEN,TANGERANG,MAUK,"344"
"2108",KALIMANTAN SELATAN,HULU SUNGAI SELATAN,TELAGA LANGSAT,"108"
"2109",JAWA TENGAH,KLATEN,JUWIRING,"465"
"2110",MALUKU UTARA,HALMAHERA UTARA,LOLODA UTARA,"396"
"2111",SULAWESI BARAT,MAMASA,BAMBANG,"288"
"2112",SULAWESI TENGAH,SIGI,DOLO BARAT,"81"
"2113",KALIMANTAN TENGAH,KAPUAS,KAPUAS TENGAH,"334"
"2114",LAMPUNG,TANGGAMUS,GISTING,"496"
"2116",JAMBI,JAMBI,JELUTUNG,"275"
"2117",SUMATERA SELATAN,MUSI BANYUASIN,SEKAYU,"54"
"2118",SUMATERA UTARA,NIAS SELATAN,PULAU-PULAU BATU TIMUR,"77"
"2119",ACEH,ACEH SINGKIL,DANAU PARIS,"125"
"2120",JAWA BARAT,CIREBON,JAMBLANG,"447"
"2121",SUMATERA BARAT,AGAM,KAMANG MAGEK,"59"
"2122",JAWA TIMUR,MALANG,WONOSARI,"39"
"2233",PAPUA,TOLIKARA,NUMBA,"141"
"2123",SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BINTAUNA,"167"
"2124",KALIMANTAN TENGAH,SUKAMARA,BALAI RIAM,"359"
"2125",DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,SENTOLO,"365"
"2126",DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,"256"
"2127",LAMPUNG,LAMPUNG TIMUR,JABUNG,"144"
"2128",SULAWESI UTARA,BOLAANG MONGONDOW UTARA,SANGKUB,"167"
"2129",BENGKULU,BENGKULU,MUARA BANGKA HULU,"369"
"2130",SUMATERA UTARA,TAPANULI TENGAH,SIBABANGUN,"84"
"2131",SUMATERA UTARA,DAIRI,SIDIKALANG,"371"
"2132",JAWA TIMUR,PAMEKASAN,PADEMAWU,"25"
"2133",JAWA BARAT,SUKABUMI,GUNUNGGURUH,"324"
"2134",SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN BARAT,"210"
"2135",ACEH,ACEH SINGKIL,KUALA BARU,"125"
"2137",KALIMANTAN SELATAN,TANAH LAUT,PELAIHARI,"111"
"2138",DAERAH ISTIMEWA YOGYAKARTA,BANTUL,BAMBANG LIPURO,"192"
"2139",SUMATERA SELATAN,PALEMBANG,SAKO,"320"
"2140",SUMATERA UTARA,MANDAILING NATAL,NATAL,"210"
"2141",JAWA BARAT,TASIKMALAYA,LEUWISARI,"395"
"2142",SUMATERA UTARA,LABUHAN BATU SELATAN,SUNGAI KANAN,"56"
"2143",JAWA BARAT,INDRAMAYU,BALONGAN,"293"
